title,link,company,salary,location
Senior Video Software Engineer,https://www.ycombinator.com/companies/flock-safety/jobs/oHQmXUR-senior-video-software-engineer,Flock Safety,$170K - $190K,"Atlanta, GA, US / Remote (Atlanta, GA, US)"
"Senior Software Engineer, Admin",https://www.ycombinator.com/companies/flock-safety/jobs/aJ6uqUO-senior-software-engineer-admin,Flock Safety,$150K - $200K,US / Remote (US)
"Staff Software Engineer, Backend",https://www.ycombinator.com/companies/flock-safety/jobs/Jw4QP7e-staff-software-engineer-backend,Flock Safety,$185K - $210K,US / Remote (US)
Linux/Android Kernel Engineer,https://www.ycombinator.com/companies/flock-safety/jobs/idhZrSI-linux-android-kernel-engineer,Flock Safety,$150K - $180K,"Remote, US / Remote (Atlanta, GA, US)"
Android Framework Engineer,https://www.ycombinator.com/companies/flock-safety/jobs/3TX1s8L-android-framework-engineer,Flock Safety,$125K - $170K,"Atlanta, GA, US / Remote (Atlanta, GA, US)"
Senior Embedded Systems Engineer ,https://www.ycombinator.com/companies/flock-safety/jobs/4ej20wJ-senior-embedded-systems-engineer,Flock Safety,$150K - $180K,"Remote, US / Remote (US)"
Staff Machine Learning Engineer ,https://www.ycombinator.com/companies/flock-safety/jobs/n8u7g2w-staff-machine-learning-engineer,Flock Safety,$190K - $240K,"Remote, US / Remote (US)"
 Senior Embedded Machine Learning Engineer ,https://www.ycombinator.com/companies/flock-safety/jobs/RA8Y9aJ-senior-embedded-machine-learning-engineer,Flock Safety,$170K - $200K,"Remote, US / Atlanta, GA, US / Remote (US)"
Software Developer ,https://www.ycombinator.com/companies/groww/jobs/HNb92j9if-software-developer,Groww,Any (new grads ok),"Bengaluru, Karnataka"
React Native Developer,https://www.ycombinator.com/companies/groww/jobs/ensP1UwH0-react-native-developer,Groww,Any (new grads ok),"Bengaluru, Karnataka"
"Senior Software Engineer, Distributed Systems (Remote-friendly but US only)",https://www.ycombinator.com/companies/mixpanel/jobs/R6Dkw4lTy-senior-software-engineer-distributed-systems-remote-friendly-but-us-only,Mixpanel,$212K - $259K,"San Francisco, CA, US / Seattle, WA, US / New York, NY, US / Remote (San Francisco, CA, US; New York, NY, US; Seattle, WA, US; CO, US; Austin, TX, US)"
